time,event
0.319,counterexample
0.319,counterexample
0.319,counterexample
0.32,counterexample
0.32,counterexample
0.32,counterexample
0.32,counterexample
0.321,counterexample
0.322,counterexample
0.323,counterexample
0.323,counterexample
0.323,counterexample
0.323,counterexample
0.323,counterexample
0.323,counterexample
0.324,counterexample
0.324,counterexample
0.324,counterexample
0.324,counterexample
0.324,counterexample
0.324,counterexample
0.324,counterexample
0.324,counterexample
0.325,counterexample
0.325,counterexample
0.325,counterexample
0.325,counterexample
0.325,counterexample
0.326,counterexample
0.326,counterexample
0.326,counterexample
0.326,counterexample
0.326,counterexample
0.326,counterexample
0.326,counterexample
0.326,counterexample
0.327,counterexample
0.327,counterexample
0.327,counterexample
0.327,counterexample
0.327,counterexample
0.328,counterexample
0.328,counterexample
0.328,counterexample
0.328,counterexample
0.328,counterexample
0.328,counterexample
0.328,counterexample
0.329,counterexample
0.329,counterexample
0.329,counterexample
0.33,counterexample
0.331,counterexample
0.331,counterexample
0.331,counterexample
0.331,counterexample
0.332,counterexample
0.332,counterexample
0.332,counterexample
0.333,counterexample
0.333,counterexample
0.333,counterexample
0.333,counterexample
0.333,counterexample
0.333,counterexample
0.334,counterexample
0.334,counterexample
0.335,counterexample
0.335,counterexample
0.335,counterexample
0.335,counterexample
0.335,counterexample
0.336,counterexample
0.336,counterexample
0.336,counterexample
0.336,counterexample
0.336,counterexample
0.336,counterexample
0.337,counterexample
0.337,counterexample
0.337,counterexample
0.337,counterexample
0.337,counterexample
0.337,counterexample
0.338,counterexample
0.338,counterexample
0.338,counterexample
0.338,counterexample
0.338,counterexample
0.338,counterexample
0.338,counterexample
0.338,counterexample
0.338,counterexample
0.338,counterexample
0.338,counterexample
0.338,counterexample
0.339,counterexample
0.339,counterexample
0.339,counterexample
0.339,counterexample
0.339,counterexample
0.339,counterexample
0.339,counterexample
0.339,counterexample
0.339,counterexample
0.339,counterexample
0.339,counterexample
0.339,counterexample
0.339,counterexample
0.339,counterexample
0.34,counterexample
0.34,counterexample
0.34,counterexample
0.34,counterexample
0.341,counterexample
0.341,counterexample
0.341,counterexample
0.341,counterexample
0.341,counterexample
0.341,counterexample
0.341,counterexample
0.341,counterexample
0.341,counterexample
0.341,counterexample
0.341,counterexample
0.342,counterexample
0.342,counterexample
0.342,counterexample
0.342,counterexample
0.342,counterexample
0.342,counterexample
0.342,counterexample
0.342,counterexample
0.342,counterexample
0.342,counterexample
0.342,counterexample
0.342,counterexample
0.342,counterexample
